primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
60.5,30.25,90.75,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,SPA+PN,,9.619766094814963e-10
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,FSD,1,3.636313472554775e-11
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,FSD,1,4.64850380410553e-13
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,FSD,1,3.024580585986314e-11
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,FSD,2,2.5690671812128585e-11
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,FSD,2,4.64850380410553e-13
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,FSD,2,2.2270740807073253e-11
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,FSD,3,2.5695112704227085e-11
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,FSD,3,4.64850380410553e-13
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,FSD,3,2.2274071476147128e-11
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,SPA+PN,,5.275883063760034e-10
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,SPA+PN,,5.234701561107613e-13
70.375,35.1875,105.5625,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,SPA+PN,,4.993838675915185e-10
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,FSD,1,1.443267727552211e-11
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,FSD,1,2.3880897259687117e-13
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,FSD,1,1.2032708163189909e-11
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,FSD,2,1.1764589302742934e-11
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,FSD,2,2.3869795029440866e-13
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,FSD,2,1.0078937684454559e-11
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,FSD,3,1.1765588503465096e-11
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,FSD,3,2.3880897259687117e-13
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,FSD,3,1.0079381773664409e-11
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,SPA+PN,,2.944389176917639e-10
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,SPA+PN,,3.063105324940807e-13
80.25,40.125,120.375,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,SPA+PN,,2.758732131624697e-10
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,FSD,1,6.682765452126205e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,FSD,1,4.348743587456738e-13
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,FSD,1,5.651035195342047e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,FSD,2,5.924261081702298e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,FSD,2,4.346523141407488e-13
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,FSD,2,5.1030291103870695e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,FSD,3,5.924483126307223e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,FSD,3,4.346523141407488e-13
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,FSD,3,5.1032511549919946e-12
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,SPA+PN,,1.7515333627926566e-10
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,SPA+PN,,5.160316618457728e-13
90.125,45.0625,135.1875,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,SPA+PN,,1.6302459382444567e-10
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,FSD,1,3.1187274984745272e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,FSD,1,2.1649348980190553e-14
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,FSD,1,2.609690241683893e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,FSD,2,2.8711477639831173e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,FSD,2,2.1649348980190553e-14
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,FSD,2,2.433164780768493e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,FSD,3,2.871036741680655e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,FSD,3,2.1649348980190553e-14
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,FSD,3,2.432942736163568e-12
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,SPA+PN,,1.1026002333380802e-10
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,SPA+PN,,1.2534417948018017e-13
100.0,50.0,150.0,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,SPA+PN,,1.0283840445879378e-10
