primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
40.75,20.375,61.125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,merger-ringdown,FSD,1,2.5689450566801497e-12
40.75,20.375,61.125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,full,FSD,1,6.258883411547345e-10
40.75,20.375,61.125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,inspiral,SPA+PN,,4.586285573537907e-09
40.75,20.375,61.125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,merger-ringdown,SPA+PN,,3.991973418493444e-11
40.75,20.375,61.125,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,full,SPA+PN,,5.177766215780366e-09
50.625,25.3125,75.9375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,inspiral,FSD,1,2.428023337941454e-10
50.625,25.3125,75.9375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,merger-ringdown,FSD,1,1.2353451595004117e-12
50.625,25.3125,75.9375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,full,FSD,1,1.5120571461579857e-10
50.625,25.3125,75.9375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,inspiral,SPA+PN,,2.206383076241991e-09
50.625,25.3125,75.9375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,merger-ringdown,SPA+PN,,5.734535069024105e-11
50.625,25.3125,75.9375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,full,SPA+PN,,3.1237061826061563e-09
60.5,30.25,90.75,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,inspiral,FSD,1,8.763423320345964e-11
60.5,30.25,90.75,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,merger-ringdown,FSD,1,2.1747048606357566e-12
60.5,30.25,90.75,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,full,FSD,1,4.879785464595443e-11
60.5,30.25,90.75,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,inspiral,SPA+PN,,1.1706006164402538e-09
60.5,30.25,90.75,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,merger-ringdown,SPA+PN,,7.93995980075124e-11
60.5,30.25,90.75,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,full,SPA+PN,,2.1018108364856403e-09
70.375,35.1875,105.5625,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,inspiral,FSD,1,3.772548939906528e-11
70.375,35.1875,105.5625,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,merger-ringdown,FSD,1,1.7643664307342988e-12
70.375,35.1875,105.5625,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,full,FSD,1,1.88807858236828e-11
70.375,35.1875,105.5625,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,inspiral,SPA+PN,,6.575365807393041e-10
