primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
40.75,20.375,61.125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,SPA+PN,,7.26640969617165e-13
40.75,20.375,61.125,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,full,SPA+PN,,3.423111682998581e-09
50.625,25.3125,75.9375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,FSD,1,5.064876296145826e-10
50.625,25.3125,75.9375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,FSD,1,2.289723965986923e-12
50.625,25.3125,75.9375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,FSD,1,4.0811587442846076e-10
50.625,25.3125,75.9375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,SPA+PN,,1.6695689275536552e-09
50.625,25.3125,75.9375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,SPA+PN,,2.815081501239547e-12
50.625,25.3125,75.9375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,SPA+PN,,1.4485164179234289e-09
60.5,30.25,90.75,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,FSD,1,1.6101531219447907e-10
60.5,30.25,90.75,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,FSD,1,2.486788552857888e-12
60.5,30.25,90.75,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,FSD,1,1.2857703790558617e-10
60.5,30.25,90.75,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,SPA+PN,,9.334699679897085e-10
60.5,30.25,90.75,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,SPA+PN,,3.198552533945076e-12
60.5,30.25,90.75,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,SPA+PN,,8.413274521501535e-10
70.375,35.1875,105.5625,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,FSD,1,6.087053083803085e-11
70.375,35.1875,105.5625,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,FSD,1,1.4447332219447162e-12
